"Pos_0","Pos_1","Pos_2","ID","MapID"
"-8814.79","474.86",0,1,0
"-8814.79","474.86","138.87",2,0
"-8986.46","679.74","138.87",3,0
"-8986.46","679.74",0,4,0
2087,-300,500,189266,603
2531,-288,500,189267,603
2531,-288,-2000,189268,603
2087,-300,-2000,189269,603
2087,300,500,189270,603
2538,212,500,189271,603
2538,212,-2000,189272,603
2087,300,-2000,189273,603
"298.34698486328","6122.5400390625",124,189697,530
"236.6309967041","6101.0600585938",124,189698,530
"221.56100463867","6027.5400390625",124,189699,530
"227.21800231934","5996.1201171875",124,189700,530
"292.19900512695","5971.6801757812",124,189701,530
"352.90100097656","6017.669921875",124,189702,530
"350.71499633789","6078.740234375",124,189703,530
"5567.66015625","714.34002685547","596.67999267578",189704,571
"5605.3198242188","394.26000976563","596.67999267578",189705,571
"5888.740234375","382.14001464844","596.67999267578",189706,571
"6026.9799804688","494.67001342773","596.67999267578",189707,571
"6051.1201171875","634.17999267578","596.67999267578",189708,571
"5952.5400390625","849.71002197266","596.67999267578",189709,571
"5793.6098632812","991.53997802734","596.67999267578",189710,571
"5582.0600585938","799.39001464844","596.67999267578",189711,571
"5634.5",419,"630.40002441406",189712,571
"5612.5698242188",814,"630.40002441406",189713,571
"5810.1899414062","953.83001708984","630.40002441406",189714,571
"5955.669921875","785.40002441406","630.40002441406",189715,571
"6025.9301757812","545.39001464844","630.40002441406",189716,571
"5817.91015625","394.35000610352","630.40002441406",189717,571
"5892.490234375","627.29998779297",620,189718,571
"5892.490234375","627.29998779297",664,189719,571
"5990.5","557.70001220703",664,189720,571
"5990.5","557.70001220703",620,189721,571
5847,539,620,189722,571
5847,539,685,189723,571
5800,526,685,189724,571
5800,526,620,189725,571
"5827.3901367188","603.34997558594","620.34002685547",189726,571
"5827.3901367188","603.34997558594","679.34002685547",189727,571
"5786.0600585938","590.07000732422","678.05999755859",189728,571
"5786.0600585938","590.07000732422","620.05999755859",189729,571
"5730.990234375","679.30999755859","620.76000976563",189730,571
"5730.990234375","679.30999755859","670.76000976563",189731,571
"5679.8701171875","720.15002441406","670.76000976563",189732,571
"5679.8701171875","720.15002441406","620.76000976563",189733,571
"5774.5","655.42999267578","620.15002441406",189734,571
"5774.5","655.42999267578","661.15002441406",189735,571
"5762.919921875","611.92999267578","661.15002441406",189736,571
"5762.919921875","611.92999267578","620.15002441406",189737,571
"5784.6499023438","664.96997070313","620.02001953125",189738,571
"5784.6499023438","664.96997070313","658.02001953125",189739,571
5823,"686.90997314453","658.02001953125",189740,571
5823,"686.90997314453","620.02001953125",189741,571
"5841.5600585938","633.28002929688","620.65997314453",189742,571
"5841.5600585938","633.28002929688","669.65997314453",189743,571
"5845.919921875","669.59002685547","664.71997070313",189744,571
"5845.919921875","669.59002685547","620.71997070313",189745,571
"5904.169921875","618.48999023438","620.40997314453",189746,571
"5904.169921875","618.48999023438","672.40997314453",189747,571
"5883.919921875","591.09002685547","672.35998535156",189748,571
"5883.919921875","591.09002685547","620.35998535156",189749,571
"5895.0400390625","627.82000732422","620.55297851563",189750,571
"5895.0400390625","627.82000732422","649.55297851563",189751,571
"5834.7797851562","553.96002197266","649.55297851563",189752,571
"5834.7797851562","553.96002197266","620.55297851563",189753,571
"5899.41015625","668.10998535156","620.53997802734",189754,571
"5899.41015625","668.10998535156","676.53997802734",189755,571
"5941.0600585938","714.98999023438","661.16998291016",189756,571
"5941.0600585938","714.98999023438","620.16998291016",189757,571
"5864.9702148438","751.16998291016","620.59002685547",189758,571
"5864.9702148438","751.16998291016","669.59002685547",189759,571
"5835.75","720.71002197266","669.59002685547",189760,571
"5835.75","720.71002197266","620.59002685547",189761,571
"5636.4501953125","398.95999145508",630,189762,571
"5947.9501953125","827.40002441406",630,189763,571
"5924.75","796.79998779297","574.10998535156",189764,571
"5806.25","636.30999755859","397.39999389648",189765,571
"5636.4501953125","398.95999145508","574.10998535156",189766,571
"5590.91015625","783.85998535156",630,189767,571
"6006.8999023438","537.08001708984",630,189768,571
"5971.75","552.69000244141","558.75",189769,571
"5806.25","636.30999755859","397.39999389648",189770,571
"5631.6098632812","751.34002685547","527.84997558594",189771,571
"5749.8500976562","865.60998535156",630,189772,571
"5749.8500976562","865.60998535156",704,189773,571
"5864.169921875","851.46997070313",704,189774,571
"5864.169921875","851.46997070313",630,189775,571
"5800.509765625","816.41998291016",630,189776,571
"5800.509765625","816.41998291016",704,189777,571
"5814.83984375","906.58001708984",704,189778,571
"5814.83984375","906.58001708984",630,189779,571
"5868.9599609375","572.64001464844","623.44000244141",189780,571
"5868.9599609375","572.64001464844","665.44000244141",189781,571
"5847.009765625","539.19000244141","665.44000244141",189782,571
"5847.009765625","539.19000244141","623.44000244141",189783,571
"5867.4301757812","720.04998779297","624.90002441406",189784,571
"5867.4301757812","720.04998779297","654.90002441406",189785,571
"5893.1401367188","700.97998046875","654.69000244141",189786,571
"5893.1401367188","700.97998046875","624.69000244141",189787,571
