"ID","MapID","Type","SplineType","Red","Green","Blue","Alpha","Flags"
1,0,7,3,0,0,0,0,0
21749,603,7,0,255,255,0,255,2
21750,603,7,0,255,255,0,255,2
21845,530,7,3,0,0,0,0,0
21846,571,7,3,0,0,0,0,0
21847,571,7,3,0,0,0,0,0
21848,571,7,3,0,0,0,0,0
21849,571,7,3,0,0,0,0,0
21850,571,7,3,0,0,0,0,0
21851,571,7,3,0,0,0,0,0
21852,571,7,3,0,0,0,0,0
21853,571,7,3,0,0,0,0,0
21854,571,7,3,0,0,0,0,0
21855,571,7,3,0,0,0,0,0
21856,571,7,3,0,0,0,0,0
21857,571,7,3,0,0,0,0,0
21858,571,7,3,0,0,0,0,0
21859,571,7,3,0,0,0,0,0
21860,571,7,3,0,0,0,0,0
21861,571,7,3,0,0,0,0,0
21862,571,7,3,0,0,0,0,0
21863,571,7,3,0,0,0,0,0
21864,571,7,3,0,0,0,0,0
21865,609,7,3,0,0,0,0,0
21866,609,7,3,0,0,0,0,0
21867,609,7,3,0,0,0,0,0
21868,609,7,3,0,0,0,0,0
21869,571,7,3,0,0,0,0,0
21870,571,7,3,0,0,0,0,0
21871,571,7,3,0,0,0,0,0
21872,571,7,3,0,0,0,0,0
21873,571,7,3,0,0,0,0,0
21874,571,7,3,0,0,0,0,0
21875,571,7,3,0,0,0,0,0
21876,571,7,3,0,0,0,0,0
21877,571,7,3,0,0,0,0,0
21878,571,7,3,0,0,0,0,0
21879,571,7,3,0,0,0,0,0
21880,571,7,3,0,0,0,0,0
21881,571,7,3,0,0,0,0,0
21882,571,7,3,0,0,0,0,0
21883,571,7,3,0,0,0,0,0
21884,571,7,3,0,0,0,0,0
21885,571,7,3,0,0,0,0,0
21886,571,7,3,0,0,0,0,0
21887,571,7,3,0,0,0,0,0
21888,600,7,3,0,0,0,0,0
21889,600,7,3,0,0,0,0,0
21890,600,7,3,0,0,0,0,0
21891,600,7,3,0,0,0,0,0
21892,600,7,3,0,0,0,0,0
21893,600,7,3,0,0,0,0,0
21894,571,7,3,0,0,0,0,0
21895,571,7,3,0,0,0,0,0
21896,571,7,3,0,0,0,0,0
21897,571,7,3,0,0,0,0,0
21898,575,7,3,0,0,0,0,0
21899,575,7,3,0,0,0,0,0
21900,631,7,3,0,0,0,0,0
21901,631,7,3,0,0,0,0,0
21902,631,7,3,0,0,0,0,0
21903,631,7,3,0,0,0,0,0
22053,571,7,3,0,0,0,0,0
22054,571,7,3,0,0,0,0,0
22055,571,7,3,0,0,0,0,0
22056,571,7,3,0,0,0,0,0
22057,571,7,3,0,0,0,0,0
22058,571,7,3,0,0,0,0,0
22059,571,7,3,0,0,0,0,0
22060,571,7,3,0,0,0,0,0
22061,571,7,3,0,0,0,0,0
22062,571,7,3,0,0,0,0,0
22063,571,7,3,0,0,0,0,0
22064,571,7,3,0,0,0,0,0
22065,571,7,3,0,0,0,0,0
22066,571,7,3,0,0,0,0,0
22067,571,7,3,0,0,0,0,0
22068,571,7,3,0,0,0,0,0
22069,571,7,3,0,0,0,0,0
22070,571,7,3,0,0,0,0,0
22071,571,7,3,0,0,0,0,0
22072,571,7,3,0,0,0,0,0
22073,571,7,3,0,0,0,0,0
22074,571,7,3,0,0,0,0,0
22075,571,7,3,0,0,0,0,0
22076,571,7,3,0,0,0,0,0
22077,571,7,3,0,0,0,0,0
22078,571,7,3,0,0,0,0,0
22079,571,7,3,0,0,0,0,0
22080,571,7,3,0,0,0,0,0
22081,571,7,3,0,0,0,0,0
22082,571,7,3,0,0,0,0,0
22083,571,7,3,0,0,0,0,0
22084,571,7,3,0,0,0,0,0
22085,571,7,3,0,0,0,0,0
22086,571,7,3,0,0,0,0,0
22087,571,7,3,0,0,0,0,0
22088,571,7,3,0,0,0,0,0
